,hidden_nodes,learning_rate,epochs,performance,training_time
358,20.0,0.9,8.0,0.8803,120.87
359,20.0,0.9,9.0,0.8763,136.62
360,200.0,0.01,1.0,0.924,133.02
361,200.0,0.01,10.0,0.9709,679.31
362,200.0,0.01,15.0,0.975,1169.9
363,200.0,0.01,2.0,0.9423,251.68
364,200.0,0.01,20.0,0.9768,2007.18
365,200.0,0.01,3.0,0.952,381.47
366,200.0,0.01,4.0,0.9569,261.78
367,200.0,0.01,5.0,0.9601,283.47
368,200.0,0.01,6.0,0.9662,469.34
369,200.0,0.01,7.0,0.9671,484.77
370,200.0,0.01,8.0,0.9684,743.17
371,200.0,0.01,9.0,0.9682,654.05
372,200.0,0.1,1.0,0.9606,100.84
373,200.0,0.1,10.0,0.974,1454.47
374,200.0,0.1,15.0,0.9726,2001.01
375,200.0,0.1,2.0,0.9649,228.8
376,200.0,0.1,20.0,0.9714,2152.25
377,200.0,0.1,3.0,0.9722,388.96
378,200.0,0.1,4.0,0.975,530.25
379,200.0,0.1,5.0,0.9733,685.33
380,200.0,0.1,6.0,0.9721,803.77
381,200.0,0.1,7.0,0.974,971.9
382,200.0,0.1,8.0,0.9746,1024.94
383,200.0,0.1,9.0,0.9724,1154.22
384,200.0,0.2,1.0,0.9584,103.9
385,200.0,0.2,10.0,0.9688,442.0
386,200.0,0.2,15.0,0.9676,655.37
387,200.0,0.2,2.0,0.9631,213.78
388,200.0,0.2,20.0,0.9628,822.31
389,200.0,0.2,3.0,0.9705,328.89
390,200.0,0.2,4.0,0.9696,448.03
391,200.0,0.2,5.0,0.9701,534.96
392,200.0,0.2,6.0,0.9685,515.09
393,200.0,0.2,7.0,0.9667,372.48
394,200.0,0.2,8.0,0.9683,448.01
395,200.0,0.2,9.0,0.9685,455.83
396,200.0,0.3,1.0,0.953,40.88
397,200.0,0.3,10.0,0.9516,419.81
398,200.0,0.3,15.0,0.9521,626.57
399,200.0,0.3,2.0,0.9558,83.29
400,200.0,0.3,20.0,0.9558,832.23
401,200.0,0.3,3.0,0.959,123.61
402,200.0,0.3,4.0,0.9612,168.29
403,200.0,0.3,5.0,0.9602,204.37
404,200.0,0.3,6.0,0.959,246.27
405,200.0,0.3,7.0,0.9594,293.87
406,200.0,0.3,8.0,0.9574,323.63
407,200.0,0.3,9.0,0.9564,374.12
408,200.0,0.4,1.0,0.9425,136.81
409,200.0,0.4,10.0,0.9492,1157.65
410,200.0,0.4,15.0,0.9429,1516.99
411,200.0,0.4,2.0,0.9414,255.25
412,200.0,0.4,20.0,0.9422,2271.61
413,200.0,0.4,3.0,0.9502,386.27
414,200.0,0.4,4.0,0.9446,316.84
415,200.0,0.4,5.0,0.9482,336.28
416,200.0,0.4,6.0,0.9488,454.05
417,200.0,0.4,7.0,0.9489,509.42
418,200.0,0.4,8.0,0.9456,580.82
419,200.0,0.4,9.0,0.9434,682.49
420,200.0,0.5,1.0,0.9365,137.19
421,200.0,0.5,10.0,0.9402,1509.38
422,200.0,0.5,15.0,0.9347,1659.27
423,200.0,0.5,2.0,0.9326,289.33
424,200.0,0.5,20.0,0.9386,2251.57
425,200.0,0.5,3.0,0.9443,429.72
426,200.0,0.5,4.0,0.9317,583.12
427,200.0,0.5,5.0,0.9343,676.97
428,200.0,0.5,6.0,0.9414,806.15
429,200.0,0.5,7.0,0.936,942.17
430,200.0,0.5,8.0,0.926,1181.57
431,200.0,0.5,9.0,0.9319,1283.28
432,200.0,0.6,1.0,0.9031,110.68
433,200.0,0.6,10.0,0.9144,451.98
434,200.0,0.6,15.0,0.9281,665.33
435,200.0,0.6,2.0,0.9074,227.34
436,200.0,0.6,20.0,0.9207,868.94
437,200.0,0.6,3.0,0.9164,330.21
438,200.0,0.6,4.0,0.9004,235.22
439,200.0,0.6,5.0,0.9222,261.04
440,200.0,0.6,6.0,0.9035,310.36
441,200.0,0.6,7.0,0.9018,364.86
442,200.0,0.6,8.0,0.9277,366.76
443,200.0,0.6,9.0,0.9199,398.8
444,200.0,0.7,1.0,0.8955,43.07
445,200.0,0.7,10.0,0.9108,451.18
446,200.0,0.7,15.0,0.9002,670.33
447,200.0,0.7,2.0,0.8738,86.71
448,200.0,0.7,20.0,0.9213,867.05
449,200.0,0.7,3.0,0.8892,133.8
450,200.0,0.7,4.0,0.891,177.9
451,200.0,0.7,5.0,0.9154,228.05
452,200.0,0.7,6.0,0.8996,266.9
453,200.0,0.7,7.0,0.8867,314.05
454,200.0,0.7,8.0,0.9087,363.44
455,200.0,0.7,9.0,0.9077,402.46
456,200.0,0.8,1.0,0.8902,139.19
457,200.0,0.8,10.0,0.9043,1015.18
458,200.0,0.8,15.0,0.895,1527.15
459,200.0,0.8,2.0,0.8577,280.55
460,200.0,0.8,20.0,0.8919,2645.57
461,200.0,0.8,3.0,0.8949,414.55
462,200.0,0.8,4.0,0.8913,245.1
463,200.0,0.8,5.0,0.8949,303.82
464,200.0,0.8,6.0,0.8836,405.71
465,200.0,0.8,7.0,0.8806,633.59
466,200.0,0.8,8.0,0.8813,875.21
467,200.0,0.8,9.0,0.8852,1023.85
468,200.0,0.9,1.0,0.8648,145.83
469,200.0,0.9,10.0,0.8793,1434.23
470,200.0,0.9,15.0,0.8944,1903.45
471,200.0,0.9,2.0,0.8517,280.07
472,200.0,0.9,20.0,0.8814,2314.64
473,200.0,0.9,3.0,0.8725,420.5
474,200.0,0.9,4.0,0.884,557.18
475,200.0,0.9,5.0,0.8693,701.1
476,200.0,0.9,6.0,0.8604,858.7
477,200.0,0.9,7.0,0.844,992.25
478,200.0,0.9,8.0,0.863,1184.31
479,200.0,0.9,9.0,0.8796,1374.24
480,300.0,0.01,1.0,0.9245,141.04
